,date,open_BTC,high_BTC,low_BTC,close_BTC,open_ETH,high_ETH,low_ETH,close_ETH,open_LTC,high_LTC,low_LTC,close_LTC,open_NEO,high_NEO,low_NEO,close_NEO,open_BNB,high_BNB,low_BNB,close_BNB,open_XRP,high_XRP,low_XRP,close_XRP,open_LINK,high_LINK,low_LINK,close_LINK,open_EOS,high_EOS,low_EOS,close_EOS,open_TRX,high_TRX,low_TRX,close_TRX,open_ETC,high_ETC,low_ETC,close_ETC,open_XLM,high_XLM,low_XLM,close_XLM,open_ZEC,high_ZEC,low_ZEC,close_ZEC
1090,2019-03-21 00:00:00,4043.04,4069.32,3880.01,3980.64,139.04,139.55,131.21,134.85,60.29,60.64,56.98,58.54,9.306,9.375,8.65,8.921,15.1288,15.2987,13.8607,14.3511,0.3178,0.31915,0.29,0.30965,0.4818,0.4842,0.4342,0.4548,3.71,3.72,3.4912,3.6185,0.0228,0.02291,0.02183,0.02217,4.654,4.8929,4.4684,4.7593,0.10883,0.10995,0.09963,0.10554,58.5,59.1,53.31,55.14
1089,2019-03-22 00:00:00,3980.85,4008.0,3968.25,3986.93,134.85,137.2,134.29,135.98,58.54,59.6,58.0,59.26,8.918,9.243,8.896,9.151,14.3567,15.226,14.231,15.1502,0.30965,0.31262,0.30642,0.31041,0.4551,0.4655,0.447,0.4646,3.6192,3.6537,3.5671,3.6176,0.02218,0.02269,0.02209,0.02251,4.76,4.98,4.7459,4.8519,0.10551,0.1097,0.10425,0.10815,55.37,56.56,54.42,55.07
1088,2019-03-23 00:00:00,3987.89,4018.83,3978.01,4006.01,135.92,138.21,135.6,137.28,59.23,61.76,58.93,60.89,9.151,9.364,9.095,9.354,15.1524,15.44,14.9469,15.1397,0.31041,0.31264,0.30883,0.31182,0.4627,0.4644,0.4545,0.4608,3.6137,3.7067,3.5985,3.6647,0.02249,0.02443,0.02245,0.02428,4.8479,4.9043,4.7953,4.874,0.1081,0.10944,0.10516,0.10681,55.06,56.9,54.78,56.9
1087,2019-03-24 00:00:00,4006.01,4006.02,3950.0,3992.18,137.28,137.37,134.75,136.09,60.88,60.9,58.84,59.82,9.354,9.354,8.961,9.124,15.1397,17.5,14.66,17.1096,0.31174,0.31186,0.30471,0.30787,0.4606,0.4621,0.4485,0.4531,3.6643,3.6643,3.5822,3.6314,0.02428,0.0244,0.02283,0.02324,4.8716,4.8946,4.73,4.8234,0.10679,0.10683,0.10297,0.10437,56.8,58.44,55.81,57.21
1086,2019-03-25 00:00:00,3991.35,3999.3,3888.71,3936.12,136.12,136.83,131.6,133.98,59.81,60.7,58.2,59.04,9.124,9.279,8.345,8.917,17.1112,17.338,16.1,16.7631,0.30792,0.308,0.3,0.3031,0.4539,0.4949,0.441,0.4734,3.6314,3.6757,3.5714,3.65,0.02325,0.02337,0.02207,0.02256,4.8194,4.8263,4.5999,4.6901,0.10435,0.10594,0.0988,0.10014,57.06,57.13,53.78,55.32
1085,2019-03-26 00:00:00,3935.47,3958.98,3894.0,3948.55,133.97,134.74,132.27,134.18,59.06,59.35,57.23,58.79,8.922,8.98,8.51,8.867,16.7761,16.8,15.5301,16.1998,0.30296,0.30384,0.294,0.30302,0.4729,0.485,0.448,0.4605,3.65,3.769,3.5914,3.7439,0.02258,0.02271,0.0219,0.0224,4.6936,4.7128,4.5741,4.6663,0.10012,0.10399,0.09731,0.10258,55.32,55.5,52.72,54.49
1084,2019-03-27 00:00:00,3948.77,4048.0,3936.15,4038.05,134.14,140.14,133.84,139.45,58.81,61.87,58.58,61.44,8.867,9.358,8.836,9.274,16.1928,16.8297,15.8697,16.6,0.303,0.31097,0.30055,0.31012,0.4603,0.4997,0.4556,0.4946,3.7439,4.343,3.716,4.2539,0.02242,0.02349,0.02227,0.0233,4.6664,4.8303,4.6406,4.7962,0.10263,0.10797,0.10212,0.1076,54.5,57.35,54.49,56.96
1083,2019-03-28 00:00:00,4039.58,4039.7,4002.0,4027.81,139.46,139.57,137.3,137.86,61.43,61.43,60.15,60.5,9.284,9.289,9.104,9.181,16.6,16.7188,16.401,16.6665,0.30986,0.31012,0.30418,0.30604,0.4967,0.5196,0.4846,0.4992,4.2556,4.3198,4.1657,4.2442,0.02329,0.02329,0.02281,0.02315,4.7963,4.8219,4.6829,4.7055,0.10761,0.10761,0.1031,0.1065,56.8,56.8,55.29,56.18
1082,2019-03-29 00:00:00,4028.22,4123.71,4024.03,4103.25,137.85,143.6,137.62,143.25,60.48,61.8,60.15,61.45,9.18,9.945,9.177,9.941,16.6538,16.8067,16.377,16.4753,0.30603,0.31042,0.30475,0.30774,0.4984,0.5042,0.4887,0.5008,4.244,4.406,4.2088,4.302,0.02314,0.0239,0.0229,0.0233,4.7052,4.97,4.7042,4.8722,0.10646,0.10843,0.10553,0.10752,56.15,58.12,55.1,57.14
1081,2019-03-30 00:00:00,4104.24,4140.0,4052.0,4106.97,143.25,145.89,140.06,142.46,61.41,61.56,59.59,60.45,9.947,10.268,9.647,9.941,16.4949,16.985,15.9612,16.9666,0.30775,0.31834,0.30687,0.31107,0.5008,0.5034,0.4858,0.494,4.3023,4.3232,3.9869,4.1502,0.02331,0.0236,0.02276,0.02322,4.8723,4.9171,4.704,4.7843,0.10748,0.1077,0.1043,0.10725,57.15,57.44,55.6,57.1
1080,2019-03-31 00:00:00,4106.99,4116.12,4082.57,4103.95,142.44,142.5,140.42,141.38,60.45,60.72,59.83,60.48,9.94,10.112,9.638,10.095,16.9666,17.7386,16.7314,17.5376,0.31092,0.31168,0.30718,0.30889,0.4938,0.541,0.4868,0.5084,4.1502,4.2557,4.0788,4.1893,0.02323,0.02358,0.02302,0.02344,4.7841,4.8448,4.7448,4.8245,0.10725,0.1083,0.10588,0.10824,56.81,59.52,56.73,58.65
1079,2019-04-01 00:00:00,4102.44,4158.7,4067.0,4144.56,141.41,143.08,139.57,141.24,60.47,60.9,59.62,60.45,10.095,10.18,9.853,10.04,17.5201,18.2576,17.3319,17.8888,0.30889,0.31455,0.30739,0.31248,0.5084,0.563,0.5007,0.554,4.1895,4.2536,4.1382,4.2043,0.02343,0.02505,0.02318,0.02433,4.8246,4.8483,4.778,4.8095,0.10823,0.11129,0.10732,0.11017,58.78,63.68,58.13,62.7
